id,created_at,campaign_var_1,campaign_var_2,products_purchased,signup_date,user_activity_var_1,user_activity_var_2,user_activity_var_3,user_activity_var_4,user_activity_var_5,user_activity_var_6,user_activity_var_7,user_activity_var_8,user_activity_var_9,user_activity_var_10,user_activity_var_11,user_activity_var_12,buy
1,2021-01-01,1,2,2.0,2020-09-24,0,0,0,0,0,0,1,1,0,0,0,0,0
2,2021-01-01,2,1,2.0,2020-09-19,1,0,1,0,0,0,1,0,0,0,0,0,0
3,2021-01-01,9,3,3.0,2021-08-11,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2021-01-01,6,7,2.0,2017-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-01-01,4,6,,2020-06-08,0,0,0,0,0,0,1,0,0,0,1,0,0
6,2021-01-01,3,4,3.0,2019-07-02,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2021-01-01,5,1,1.0,2019-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2021-01-01,7,3,,2020-12-12,0,0,0,0,0,1,0,0,0,0,1,0,0
9,2021-01-01,13,6,3.0,2018-06-21,0,0,0,0,1,0,0,0,0,0,0,0,0
10,2021-01-01,3,6,2.0,2021-10-20,0,0,0,0,0,1,0,0,0,0,1,0,0
11,2021-01-01,1,1,1.0,2019-01-07,0,0,1,0,1,0,0,0,0,0,0,0,0
12,2021-01-01,7,4,,,1,0,0,0,0,1,0,1,0,0,0,0,0
13,2021-01-01,2,6,2.0,2019-12-09,0,0,0,0,0,0,0,0,0,0,1,0,0
14,2021-01-01,2,2,3.0,2017-01-28,1,0,0,0,1,0,0,0,0,0,0,0,0
15,2021-01-01,4,7,,2019-05-03,0,0,0,0,0,1,0,0,0,0,1,0,0
16,2021-01-01,7,2,,2021-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2021-01-01,5,10,2.0,2020-10-31,1,0,0,0,1,1,0,0,0,0,0,0,0
18,2021-01-01,5,6,,2021-10-20,0,0,0,0,0,1,0,1,0,0,0,0,0
19,2021-01-01,5,2,3.0,2017-10-12,0,0,0,0,0,0,1,1,0,0,0,0,0
20,2021-01-01,2,2,,2020-10-22,1,0,0,0,1,1,0,1,0,0,0,0,0
21,2021-01-01,4,2,,2021-07-22,0,0,0,0,0,1,1,0,0,0,0,0,0
22,2021-01-02,9,7,,,1,0,0,0,0,0,1,0,0,0,0,0,0
23,2021-01-02,5,6,,,1,0,0,0,0,1,0,0,0,0,0,0,0
24,2021-01-02,2,3,,2021-02-06,0,0,0,0,0,0,0,1,0,0,0,0,0
25,2021-01-02,6,7,3.0,2021-05-09,0,0,0,0,0,0,1,0,0,0,0,0,0
26,2021-01-02,1,2,2.0,2020-01-14,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2021-01-02,3,4,1.0,2021-04-07,1,0,0,0,0,0,0,0,0,0,0,0,0
28,2021-01-02,3,2,2.0,2019-09-18,1,0,0,0,1,0,0,0,0,0,1,0,0
29,2021-01-02,6,3,3.0,2020-08-04,0,0,0,0,0,0,1,0,0,0,0,0,0
30,2021-01-02,8,5,,,1,0,0,0,0,1,0,1,0,0,0,0,0
31,2021-01-02,3,1,2.0,2020-11-16,1,0,0,0,0,2,0,0,0,0,0,0,0
32,2021-01-02,2,1,,2021-02-16,0,0,1,0,0,1,0,0,0,0,0,0,0
33,2021-01-02,4,2,1.0,2020-08-06,1,0,0,0,0,1,0,0,0,0,0,0,0
